Wall time,Step,Value
1732007016.1722474,1,0.481357604265213
1732007024.3024185,2,0.585833728313446
1732007032.4072912,3,0.5727496147155762
1732007040.4643583,4,0.6775209307670593
1732007054.566636,5,0.7130349278450012
1732007065.8843575,6,0.7352680563926697
1732007073.9905012,7,0.7829807996749878
1732007082.2124524,8,0.7887850403785706
1732007090.3901253,9,0.815543532371521
1732007098.52913,10,0.8102312088012695
1732007106.6619854,11,0.8326610922813416
1732007114.991771,12,0.8413182497024536
1732007123.2595427,13,0.8102312088012695
1732007131.274418,14,0.8337432146072388
1732007139.3132641,15,0.8222331404685974
1732007147.4484441,16,0.842498779296875
1732007155.7068298,17,0.8630595207214355
1732007164.059071,18,0.8677815794944763
1732007172.2942345,19,0.8552877306938171
1732007180.2703714,20,0.870831310749054
1732007188.4445837,21,0.8711264133453369
1732007196.705895,22,0.8632562756538391
1732007204.9509706,23,0.8639448881149292
1732007219.303987,24,0.8638465404510498
1732007237.3179219,25,0.8786030411720276
1732007252.4543924,26,0.8839154243469238
1732007269.1640172,27,0.8675848245620728
1732007286.7018628,28,0.8586325645446777
1732007302.6798263,29,0.8803738355636597
1732007318.8680348,30,0.8484013676643372
1732007334.4060946,31,0.8859813213348389
1732007349.9292202,32,0.8885390758514404
1732007368.6014452,33,0.8622725009918213
1732007385.836292,34,0.8779144287109375
1732007405.7463834,35,0.8821446299552917
1732007423.4474363,36,0.8999508023262024
1732007440.998233,37,0.9016231894493103
1732007458.5087025,38,0.8969994783401489
1732007473.4799964,39,0.8947368264198303
1732007488.66896,40,0.8899163603782654
1732007504.7076616,41,0.9070339202880859
1732007523.4215667,42,0.9077225923538208
1732007540.8098385,43,0.9154943227767944
1732007558.4441638,44,0.9137235879898071
1732007576.1487026,45,0.9135268330574036
1732007593.720191,46,0.9117560386657715
1732007611.1377923,47,0.9173635244369507
1732007630.3594613,48,0.91677325963974
1732007648.2680135,49,0.9152975678443909
1732007663.7324996,50,0.9148057103157043
1732007681.5749319,51,0.9010329842567444
1732007699.7633884,52,0.9175602793693542
1732007716.9462907,53,0.9325135350227356
1732007734.2434096,54,0.9218888282775879
1732007751.3444269,55,0.9212002158164978
1732007769.4150636,56,0.9310379028320312
1732007786.1902218,57,0.925725519657135
1732007802.7325983,58,0.9283816814422607
1732007818.2637806,59,0.932316780090332
1732007833.6058815,60,0.9183472990989685
1732007850.1163228,61,0.9346778392791748
1732007868.6076438,62,0.9361534714698792
1732007888.7186964,63,0.9399901628494263
1732007906.4633377,64,0.9417609572410583
1732007924.7564023,65,0.9401869177818298
1732007942.0455027,66,0.9332021474838257
1732007958.083667,67,0.9393015503883362
1732007974.0240347,68,0.9364485740661621
1732007989.7585998,69,0.9448106288909912
1732008008.5409956,70,0.9442203640937805
1732008025.413398,71,0.9403836727142334
1732008041.8920262,72,0.9514018893241882
1732008059.511166,73,0.9372355937957764
1732008076.674995,74,0.9395966529846191
1732008091.9882104,75,0.9494343400001526
1732008109.1660695,76,0.9525824189186096
1732008129.572041,77,0.937137246131897
1732008146.279052,78,0.936055064201355
1732008163.2093012,79,0.9484505653381348
1732008179.599406,80,0.9478603005409241
1732008195.2931514,81,0.9484505653381348
1732008211.7408514,82,0.9482538104057312
1732008229.846383,83,0.9516969919204712
1732008247.61318,84,0.944712221622467
1732008263.6564333,85,0.9572060704231262
1732008281.782454,86,0.9348745942115784
1732008298.1301553,87,0.9496310949325562
1732008313.899402,88,0.9534677863121033
1732008330.8145952,89,0.9518937468528748
1732008347.8916347,90,0.9599606394767761
1732008367.0718174,91,0.9501229524612427
1732008385.3034916,92,0.9516969919204712
1732008401.7359607,93,0.9552385807037354
1732008419.0717666,94,0.954058051109314
1732008435.279661,95,0.9567142128944397
1732008450.9283621,96,0.9522872567176819
1732008467.1131551,97,0.9577963352203369
1732008483.6272378,98,0.9557304382324219
1732008502.125925,99,0.9641908407211304
1732008520.4912353,100,0.9614362716674805
1732008535.4952357,101,0.9636005759239197
1732008552.693736,102,0.9631087183952332
1732008570.0493162,103,0.964092493057251
1732008588.4933574,104,0.9406787753105164
1732008605.2135227,105,0.9574028253555298
1732008624.0691826,106,0.9644860029220581
1732008644.3909228,107,0.9631087183952332
1732008663.0020964,108,0.9624200463294983
1732008678.4845698,109,0.9635022282600403
1732008694.2694108,110,0.9680275321006775
1732008712.1142948,111,0.9642892479896545
1732008728.3616817,112,0.9565174579620361
1732008744.627574,113,0.9564191102981567
1732008759.9317515,114,0.9614362716674805
1732008775.907123,115,0.9521889090538025
1732008791.8228471,116,0.9628135561943054
1732008808.3197873,117,0.9622232913970947
1732008825.6887205,118,0.9583866000175476
1732008844.6743762,119,0.9585833549499512
1732008862.6980312,120,0.9683226943016052
1732008881.8274875,121,0.9635022282600403
1732008897.695754,122,0.969306468963623
1732008917.7970057,123,0.9694048166275024
