Wall time,Step,Value
1732907054.1296756,1,1.85017991065979
1732907105.6804893,2,1.5641131401062012
1732907163.9133048,3,1.5419682264328003
1732907232.820496,4,1.5343104600906372
1732907282.7204661,5,1.5294605493545532
1732907343.5658216,6,1.5253690481185913
1732907394.1723301,7,1.5232129096984863
1732907457.993483,8,1.5192453861236572
1732907524.2921362,9,1.5175150632858276
1732907588.2296233,10,1.5140526294708252
1732907648.1062741,11,1.5135307312011719
1732907707.6961043,12,1.5113533735275269
1732907762.0824344,13,1.5113153457641602
1732907819.1259506,14,1.5090426206588745
1732907877.7893493,15,1.5082004070281982
1732907939.20679,16,1.5077691078186035
1732908008.9585037,17,1.5079234838485718
1732908069.2413428,18,1.50643789768219
1732908129.1510503,19,1.5051673650741577
1732908193.4976115,20,1.5046287775039673
1732908259.1204264,21,1.5041887760162354
1732908323.0012531,22,1.5043487548828125
1732908388.9678447,23,1.5037897825241089
1732908450.1466043,24,1.5031416416168213
1732908499.4735937,25,1.5035531520843506
1732908555.1250188,26,1.5023609399795532
1732908615.4262986,27,1.5014500617980957
1732908672.5992792,28,1.5024025440216064
1732908741.5234149,29,1.5022927522659302
1732908795.4348528,30,1.501678466796875
1732908847.8182414,31,1.501587152481079
1732908904.0466454,32,1.5012288093566895
1732908964.0774167,33,1.5010287761688232
1732909021.735583,34,1.4996564388275146
1732909077.880609,35,1.4999076128005981
1732909136.842394,36,1.4999804496765137
1732909190.3173773,37,1.4992175102233887
1732909244.1772108,38,1.500420093536377
1732909304.0022812,39,1.500427007675171
1732909362.1726556,40,1.4987140893936157
1732909417.295895,41,1.4993642568588257
1732909469.7122705,42,1.4997738599777222
1732909520.197077,43,1.4990290403366089
1732909577.4099922,44,1.4990583658218384
1732909638.833208,45,1.4987293481826782
1732909690.898575,46,1.4991823434829712
1732909747.4485285,47,1.4973386526107788
1732909805.5574694,48,1.4990171194076538
1732909865.7240543,49,1.4990946054458618
1732909924.8125827,50,1.4979889392852783
1732909980.3561862,51,1.4978662729263306
1732910036.540537,52,1.498586893081665
1732910093.033942,53,1.4989994764328003
1732910146.7380652,54,1.4981545209884644
1732910208.0801904,55,1.4980311393737793
1732910259.824426,56,1.498087763786316
1732910313.5823476,57,1.4968825578689575
1732910366.9339721,58,1.4996085166931152
1732910425.1561055,59,1.4979588985443115
1732910487.5342598,60,1.4969534873962402
1732910545.379192,61,1.4977338314056396
1732910601.0439441,62,1.4974700212478638
1732910657.6545746,63,1.4974849224090576
1732910714.2842958,64,1.4974052906036377
1732910776.0299659,65,1.4986244440078735
1732910834.9396753,66,1.496909499168396
1732910891.3534477,67,1.4972543716430664
1732910945.069331,68,1.496036171913147
1732910998.4714987,69,1.4983397722244263
1732911059.5083215,70,1.4978792667388916
1732911130.0928078,71,1.4972143173217773
1732911190.368198,72,1.4960380792617798
1732911249.7756019,73,1.4970251321792603
1732911305.6184294,74,1.4968199729919434
1732911371.788745,75,1.4975813627243042
1732911429.3897974,76,1.496395468711853
1732911482.383773,77,1.4961633682250977
1732911544.5749018,78,1.4983718395233154
1732911603.8585691,79,1.4959673881530762
1732911662.9796112,80,1.4964890480041504
1732911719.1024635,81,1.4970568418502808
1732911781.4117868,82,1.496923565864563
1732911840.4916477,83,1.4960145950317383
1732911896.126047,84,1.4972832202911377
1732911947.0727956,85,1.4962059259414673
1732912012.2588537,86,1.4958674907684326
1732912067.7677553,87,1.4978770017623901
1732912129.1521122,88,1.4959759712219238
1732912177.3167393,89,1.497984766960144
1732912235.1756573,90,1.4963529109954834
1732912307.0377338,91,1.4963815212249756
1732912367.6740217,92,1.4959434270858765
1732912414.6107013,93,1.4964125156402588
1732912467.6208954,94,1.497166633605957
1732912526.971268,95,1.4954687356948853
1732912589.965565,96,1.495975375175476
1732912643.2885947,97,1.4956655502319336
1732912698.2663345,98,1.4960376024246216
1732912757.1411011,99,1.4950077533721924
1732912810.7136383,100,1.497596025466919
1732912874.6941376,101,1.4952961206436157
1732912932.01273,102,1.496088981628418
1732912995.4222438,103,1.4967292547225952
1732913052.5325348,104,1.4957356452941895
1732913111.3854272,105,1.4957572221755981
1732913164.774753,106,1.4957987070083618
1732913233.6924887,107,1.496773600578308
1732913293.1355057,108,1.4967483282089233
1732913351.9215937,109,1.4957494735717773
