voip,file_transfer,chat,email,vpn_chat,vpn_voip,p2p,streaming,vpn_file_transfer,vpn_streaming,vpn_p2p,vpn_email
0.402796149,0.439373612,0.306537032,0.150380045,0.306593001,0.22424987,0.210239276,0.121617801,0.386149138,0.253377795,0.885214031,0.483647197
0.901508093,0.950086951,0.789120972,0.425449967,0.573174775,0.647873878,0.541356921,0.142122328,0.839359999,0.666400075,0.864785969,0.738354802
0.871175885,0.959358811,0.856966853,0.612639666,0.589789391,0.766010642,0.728934288,0.513823688,0.806211889,0.711576819,0.842412472,0.796828568
0.877066672,0.93749851,0.863098621,0.678328335,0.710293233,0.7733289,0.795306683,0.585605025,0.816255748,0.775454104,0.865758777,0.831516385
0.905343652,0.940280318,0.887413204,0.740691185,0.724601388,0.798666358,0.779282808,0.652746439,0.85498333,0.79371208,0.878404677,0.839444995
0.915284753,0.941895247,0.902601004,0.755120635,0.744374275,0.816842079,0.835630298,0.722188115,0.860181808,0.785138726,0.870622575,0.859266639
0.911372542,0.938533068,0.904598594,0.803646326,0.785109639,0.818365037,0.852113903,0.746758103,0.853726268,0.808622777,0.889105082,0.855302274
0.92487222,0.943664908,0.912283301,0.810138106,0.783878326,0.829161286,0.857106924,0.777211189,0.885993779,0.82559669,0.894941628,0.858275533
0.930484593,0.952698946,0.920717895,0.825794101,0.810667694,0.84461844,0.874401331,0.79876101,0.886276603,0.820898294,0.892996132,0.871159613
0.937321186,0.953978479,0.924663126,0.8444525,0.819887042,0.845069647,0.885301232,0.804867685,0.891214669,0.828580678,0.897859931,0.877106071
0.935802341,0.954264641,0.935679197,0.841540813,0.814713955,0.857581139,0.903198242,0.828755379,0.898866296,0.858003736,0.904669285,0.880079329
0.939003348,0.957288265,0.934371054,0.866116703,0.840373218,0.859412074,0.889203787,0.842748165,0.906950355,0.856089711,0.907587528,0.886025786
0.946923375,0.961374879,0.937310338,0.865888357,0.856963038,0.87385273,0.904261231,0.843509793,0.90846175,0.856894493,0.909533083,0.882061481
0.952590585,0.965523005,0.942519426,0.869817019,0.849714875,0.875027657,0.91443795,0.849981785,0.910535574,0.866996765,0.911478579,0.888999045
0.953515172,0.96467787,0.942953944,0.882074237,0.846049249,0.878475904,0.916281402,0.864878893,0.910708427,0.878610611,0.918287933,0.893954456
0.957682371,0.965011239,0.948091269,0.88569808,0.870951772,0.884180903,0.910619378,0.878292143,0.918182552,0.877097368,0.921206236,0.898909867
0.957176924,0.965251803,0.948340595,0.892792583,0.879710555,0.887921035,0.915690899,0.882250071,0.923030913,0.877080381,0.920233488,0.897918761
0.958107829,0.968536794,0.953266084,0.889996171,0.877214909,0.889279723,0.923325896,0.878936172,0.926183581,0.880465031,0.921206236,0.896927655
0.965517044,0.972360611,0.954352617,0.894547343,0.867451549,0.893666029,0.927635372,0.884395838,0.925459445,0.894238293,0.923151731,0.903865218
0.964044392,0.96958065,0.952132583,0.896598101,0.876774549,0.899470985,0.925064921,0.898471594,0.927140594,0.894642591,0.923151731,0.910802782
0.965039253,0.970570028,0.955785453,0.902405262,0.895074189,0.903213799,0.92756325,0.897505283,0.933764935,0.888321996,0.926070035,0.908820629
0.965523779,0.970423877,0.954597831,0.894117951,0.896145284,0.912836015,0.926407695,0.898192883,0.93673408,0.894784331,0.927042782,0.908820629
0.968028367,0.969824791,0.95705688,0.90193212,0.887461662,0.91492784,0.930213034,0.8982476,0.938090086,0.904539466,0.92801559,0.915758193
0.965950012,0.971841156,0.956701815,0.908289373,0.892399967,0.913522899,0.926940858,0.902677536,0.933184028,0.904538333,0.92801559,0.915758193
0.965856671,0.971109867,0.961488128,0.905049801,0.903149366,0.916292191,0.9276824,0.913453877,0.937387466,0.90132308,0.930933833,0.915758193
0.969584942,0.972169697,0.958918273,0.90645659,0.899065256,0.920324326,0.932715654,0.913844943,0.940664053,0.908633888,0.931906641,0.917740345
0.967904687,0.972181618,0.959618926,0.910238743,0.898124576,0.928303361,0.940344453,0.913134575,0.941141248,0.906747341,0.931906641,0.92170471
0.970816374,0.974235177,0.964517951,0.911799848,0.904422045,0.922374785,0.936112225,0.911793828,0.941690028,0.916695535,0.932879388,0.924677908
0.969364166,0.972841859,0.963431537,0.918485403,0.915534437,0.928409576,0.940486729,0.922387838,0.944647551,0.912705183,0.936770439,0.924677908
0.972250223,0.974695802,0.961132169,0.912914872,0.911530674,0.923432231,0.941274941,0.922562003,0.948433816,0.910484195,0.939688742,0.926660061
0.972794175,0.975041032,0.962723255,0.916881979,0.913804531,0.928477108,0.942344129,0.922924697,0.947106183,0.913989365,0.938715935,0.928642273
0.970798492,0.97491467,0.965333998,0.91830796,0.913619161,0.931521893,0.943471491,0.92341131,0.947106719,0.923192263,0.937743187,0.927651167
0.973541856,0.974741459,0.967217147,0.918299317,0.918552399,0.933971703,0.947530031,0.927222848,0.947308898,0.921821237,0.941634238,0.926660061
0.974514842,0.975722253,0.965952396,0.921895921,0.91747117,0.93762666,0.94702065,0.937980473,0.948289096,0.919809461,0.942606986,0.929633319
0.976930261,0.972557545,0.964549005,0.924355805,0.926990688,0.941677928,0.945467949,0.930211902,0.956429601,0.921640515,0.944552541,0.935579836
0.974794686,0.97464788,0.964359999,0.925626397,0.9249295,0.940850616,0.939802825,0.934176326,0.953547597,0.926772594,0.943579793,0.932606578
0.975340664,0.978132725,0.967268586,0.928279519,0.921672106,0.943487048,0.948781967,0.934658706,0.954591393,0.928538084,0.945525289,0.928642273
0.974282205,0.976864278,0.968191922,0.920669675,0.923729777,0.945584297,0.951710463,0.93461746,0.95645231,0.928424001,0.947470844,0.933597624
0.977607012,0.977655292,0.970980525,0.926975012,0.928632379,0.949388623,0.948204875,0.935995877,0.957011461,0.925952733,0.946498036,0.941526294
0.976179421,0.977717757,0.970164061,0.937778354,0.926956058,0.944768131,0.942468941,0.94285953,0.954289556,0.927587867,0.949416339,0.938553035
0.979553223,0.978123903,0.971469641,0.93071568,0.924387515,0.949014902,0.955994129,0.939897239,0.957775593,0.933467031,0.952334642,0.932606578
0.978012323,0.979408145,0.969110429,0.92562139,0.935705423,0.951244593,0.957515955,0.944419026,0.954338908,0.932936549,0.946498036,0.9425174
0.977510929,0.978747129,0.972638786,0.936026156,0.933673918,0.950457692,0.949839115,0.938544691,0.952814221,0.933642626,0.949416339,0.945490599
0.978185296,0.977624178,0.974570453,0.941512704,0.932356894,0.950984061,0.942993283,0.943614542,0.962346315,0.934036613,0.954280138,0.937561989
0.981737494,0.978132665,0.971730173,0.928552628,0.935518265,0.955251098,0.956703186,0.941329956,0.967805862,0.93195045,0.952334642,0.938553035
0.975568652,0.982514858,0.973347247,0.932514906,0.937819719,0.950983465,0.959113598,0.944670558,0.958965063,0.935340405,0.946498036,0.947472751
0.98158294,0.981327713,0.974944472,0.943078697,0.936055839,0.952591419,0.951000929,0.94968152,0.954097331,0.941107154,0.95330739,0.948463857
0.978418112,0.98046881,0.974575758,0.937407434,0.936722517,0.955000579,0.954063892,0.946093917,0.960656285,0.937657714,0.957198441,0.9425174
0.981786907,0.978750467,0.976512671,0.932447731,0.93979609,0.957333028,0.957684278,0.951673567,0.96893239,0.938889623,0.956225693,0.944499552
0.978890717,0.977477312,0.976954699,0.940628707,0.944483161,0.956723571,0.959053397,0.949505746,0.960572481,0.937473774,0.957198441,0.949454904
0.981648922,0.980413318,0.974156976,0.942379713,0.939125657,0.958888531,0.952777147,0.950369716,0.962854445,0.941504359,0.957198441,0.945490599
