file_transfer,p2p,streaming,voip,vpn_voip,vpn_file_transfer,vpn_streaming,vpn_p2p
0.955102026,0.968281984,0.785148561,0.026905831,0.636456251,0.674418628,0.677618086,0.82776618
0.928571403,0.97797358,0.803960443,0.547085226,0.846232235,0.804263592,0.671457946,0.890396655
0.905102015,0.957709253,0.845544577,0.668161452,0.879837096,0.811046481,0.772073925,0.891440511
0.929591775,0.953303993,0.859405994,0.691704094,0.852342188,0.825581372,0.799794674,0.908141971
0.947959125,0.948017657,0.853465378,0.793722034,0.899185359,0.841085255,0.804928184,0.917536557
0.949999988,0.944493413,0.869306982,0.812780321,0.911405325,0.836240292,0.850102723,0.914405048
0.955102026,0.949779749,0.885148525,0.819506764,0.909368694,0.85368216,0.847022593,0.918580413
0.962244868,0.961233497,0.882178247,0.834080756,0.916496992,0.865310073,0.849076033,0.921711922
0.966326475,0.961233497,0.884158432,0.838565052,0.92362529,0.86434108,0.864476442,0.927974939
0.966326475,0.962114573,0.899009943,0.850896895,0.932790279,0.870155036,0.852156103,0.932150304
0.96938771,0.965638816,0.89801985,0.86098659,0.922606945,0.880813956,0.863449693,0.934238017
0.973469317,0.970044076,0.896039605,0.862107694,0.921588659,0.884689927,0.886036992,0.935281873
0.977550983,0.976211488,0.896039605,0.86098659,0.932790279,0.890503883,0.876796722,0.940501094
0.977550983,0.977092564,0.906930745,0.864349842,0.933808625,0.892441869,0.867556512,0.944676459
0.977550983,0.977092564,0.909901023,0.87780273,0.930753589,0.895348847,0.880903542,0.942588747
0.978571415,0.976211488,0.905940652,0.887892425,0.928716958,0.899224818,0.905544162,0.945720255
0.979591787,0.977092564,0.914851487,0.885650277,0.93482691,0.906007767,0.899384022,0.946764112
0.982653022,0.979735732,0.91980201,0.885650277,0.941955268,0.906976759,0.892197132,0.947807968
0.983673453,0.979735732,0.918811917,0.901345313,0.937881947,0.912790716,0.895277262,0.944676459
0.983673453,0.978854656,0.917821825,0.905829668,0.937881947,0.916666687,0.909650981,0.947807968
0.982653022,0.978854656,0.923762381,0.903587461,0.940936923,0.920542657,0.913757741,0.950939476
0.982653022,0.978854656,0.929702997,0.903587461,0.942973554,0.924418628,0.906570852,0.950939476
0.984693825,0.978854656,0.928712904,0.904708564,0.942973554,0.925387621,0.907597542,0.953027189
0.984693825,0.978854656,0.928712904,0.906950712,0.943991899,0.930232525,0.919917881,0.955114841
0.984693825,0.980616748,0.932673275,0.910313964,0.945010245,0.93217051,0.921971262,0.955114841
0.984693825,0.980616748,0.940594077,0.911435008,0.945010245,0.934108496,0.919917881,0.955114841
0.984693825,0.980616748,0.94158417,0.915919304,0.943991899,0.937015474,0.922997952,0.956158698
0.984693825,0.980616748,0.94158417,0.917040408,0.947046876,0.939922452,0.925051391,0.957202554
0.985714257,0.980616748,0.94158417,0.924887955,0.948065221,0.943798423,0.929158151,0.95824635
0.986734629,0.981497824,0.944554508,0.924887955,0.946028531,0.944767416,0.928131461,0.95824635
0.986734629,0.9823789,0.95247525,0.921524704,0.946028531,0.944767416,0.928131461,0.959290206
0.986734629,0.9823789,0.955445588,0.924887955,0.949083567,0.947674394,0.928131461,0.960334063
0.986734629,0.9823789,0.955445588,0.930493295,0.951120198,0.948643386,0.930184841,0.960334063
0.986734629,0.9823789,0.95643568,0.933856547,0.948065221,0.950581372,0.932238221,0.960334063
0.986734629,0.983259916,0.95643568,0.932735443,0.946028531,0.950581372,0.932238221,0.960334063
0.986734629,0.984140992,0.957425773,0.936098695,0.952138543,0.950581372,0.931211531,0.961377919
0.986734629,0.984140992,0.95643568,0.937219799,0.954175174,0.950581372,0.931211531,0.961377919
0.986734629,0.983259916,0.954455495,0.941704094,0.952138543,0.951550364,0.934291601,0.962421715
0.98775506,0.983259916,0.954455495,0.945067286,0.951120198,0.951550364,0.935318291,0.962421715
0.98775506,0.98678416,0.958415866,0.943946242,0.953156888,0.952519357,0.932238221,0.963465571
0.98775506,0.98678416,0.961386144,0.942825139,0.958248496,0.952519357,0.933264911,0.963465571
0.988775492,0.98678416,0.961386144,0.945067286,0.953156888,0.955426335,0.935318291,0.963465571
0.988775492,0.985903084,0.963366389,0.949551642,0.952138543,0.959302306,0.936344981,0.963465571
0.988775492,0.985022068,0.962376297,0.954035938,0.95723021,0.962209284,0.936344981,0.963465571
0.98775506,0.985903084,0.965346575,0.950672686,0.962321818,0.962209284,0.937371671,0.963465571
0.98775506,0.985903084,0.965346575,0.95179379,0.958248496,0.959302306,0.937371671,0.963465571
0.98775506,0.985903084,0.965346575,0.954035938,0.958248496,0.96414727,0.938398361,0.963465571
