voip,file_transfer,chat,email,vpn_chat,vpn_voip,p2p,streaming,vpn_file_transfer,vpn_streaming,vpn_p2p,vpn_email
0.400326674,0.436399834,0.302373934,0.146434663,0.303909635,0.221476177,0.206023251,0.118976268,0.382657502,0.249557759,0.883048973,0.479094607
0.898937397,0.946620791,0.784440798,0.423029094,0.569675435,0.64441286,0.537091693,0.139998808,0.837258063,0.66327584,0.862445173,0.734073702
0.867463215,0.955887312,0.852339239,0.608074991,0.585887347,0.763124023,0.726547967,0.51120766,0.80159866,0.70870566,0.839427602,0.794055171
0.873415837,0.933858032,0.858120285,0.675575246,0.706320846,0.77024799,0.792419764,0.581600087,0.811794971,0.770731998,0.863441013,0.829022494
0.902485216,0.936383186,0.883027561,0.736110415,0.722191275,0.796438914,0.774386378,0.650520332,0.851247303,0.79044434,0.874026994,0.835707789
0.910876422,0.936942826,0.898111276,0.751785863,0.741427947,0.813792772,0.831717653,0.717543809,0.85678254,0.780431788,0.86659984,0.854493933
0.908528524,0.935371248,0.900491274,0.798980405,0.7830811,0.815604796,0.849756442,0.744279625,0.849692505,0.803808983,0.884316803,0.853241782
0.92123641,0.93941345,0.908131367,0.807022718,0.779916938,0.825536978,0.854783327,0.774363685,0.883207169,0.821461212,0.89187992,0.854452381
0.927571542,0.947976126,0.916781871,0.822341151,0.807002159,0.841674798,0.86980894,0.794908556,0.882827065,0.81691072,0.889236981,0.866544536
0.932343515,0.950969696,0.920567875,0.841570916,0.815395002,0.842131437,0.881236696,0.802705067,0.886982123,0.825286063,0.894822201,0.872267845
0.931007694,0.949914991,0.93271358,0.837298978,0.80990384,0.85445711,0.898881226,0.824971409,0.894044322,0.855051907,0.900469402,0.8752777
0.935448285,0.953126973,0.929672225,0.862792261,0.838173749,0.85523861,0.886331855,0.839569716,0.904244365,0.852157362,0.903043187,0.882271486
0.94271221,0.957123437,0.934514736,0.861593165,0.852908764,0.871229361,0.899751254,0.838633591,0.906351914,0.854259219,0.907343136,0.878406202
0.949306836,0.960865126,0.938653602,0.864862813,0.847136663,0.872591891,0.91096654,0.84532843,0.906523192,0.862784862,0.90907659,0.8848563
0.950565468,0.960285894,0.939212214,0.878084637,0.84274939,0.875930048,0.911728984,0.860654417,0.907110625,0.875719058,0.914323279,0.890227219
0.955352743,0.961241418,0.943191942,0.881200626,0.867166003,0.880867504,0.907718037,0.87343749,0.914237817,0.872981856,0.917914054,0.896683705
0.954342344,0.962403959,0.943884831,0.888282121,0.876486587,0.883116203,0.912992013,0.878879419,0.919651556,0.874648058,0.917667879,0.894789776
0.95518393,0.963850085,0.950215402,0.887914128,0.874487122,0.884479091,0.920449008,0.874587639,0.923011535,0.877868979,0.917553979,0.893340526
0.960530376,0.968119062,0.950877104,0.891808954,0.864564206,0.888808701,0.9249126,0.880526375,0.923224213,0.890319961,0.919132046,0.901608308
0.960519872,0.966000375,0.949273137,0.893751379,0.872024923,0.896861408,0.920883722,0.893915414,0.922650435,0.890445459,0.918644111,0.907381137
0.962121717,0.966239746,0.951229863,0.898770338,0.890246954,0.900709222,0.924456173,0.895423871,0.931504953,0.884693011,0.92310536,0.905326382
0.960600633,0.966957813,0.95179734,0.889597176,0.893765896,0.908641017,0.922444989,0.894434065,0.934347617,0.890833641,0.922867015,0.903880539
0.963179125,0.967726119,0.952624307,0.897039083,0.882548623,0.910337743,0.928053043,0.894867219,0.935127116,0.901034839,0.924976708,0.912353712
0.96390457,0.967873048,0.952625408,0.903994166,0.88750666,0.909595101,0.9241481,0.899343673,0.929601855,0.901090926,0.923933372,0.913272852
0.962231921,0.968928233,0.956714279,0.902810362,0.898536393,0.914053416,0.925260483,0.909387587,0.93490531,0.898618375,0.928903381,0.912673986
0.965484185,0.968509675,0.955133269,0.903905645,0.89589948,0.917963366,0.929502861,0.911407732,0.93836991,0.906619115,0.929025686,0.913976386
0.963482716,0.969933721,0.956228301,0.907033917,0.893177247,0.926202399,0.937665075,0.909790121,0.93786236,0.902512241,0.927844323,0.917219943
0.967018561,0.970432275,0.959853277,0.907834662,0.901681805,0.918867416,0.932409255,0.90771549,0.937630512,0.913686936,0.929977861,0.92244066
0.965357165,0.96930223,0.960561119,0.913702228,0.911577508,0.925685345,0.936327679,0.92030224,0.94196727,0.908037627,0.93288944,0.919809236
0.968640551,0.970505823,0.957798724,0.909736551,0.906925695,0.920320918,0.937419635,0.91849082,0.943442334,0.90796221,0.935191469,0.924621086
0.968087773,0.972690402,0.958766441,0.912702897,0.908932109,0.925908492,0.939639497,0.920733679,0.944805278,0.91116532,0.933960413,0.926050588
0.966354635,0.970804976,0.960741792,0.916117271,0.910591439,0.9275371,0.940248321,0.920131794,0.943829771,0.920628182,0.934269519,0.923738085
0.968563646,0.972476138,0.963289662,0.915433935,0.915943265,0.931387611,0.942552569,0.922883631,0.943234183,0.916851927,0.938017092,0.924234879
0.970488104,0.972022174,0.962022475,0.919776577,0.915389821,0.935282307,0.943830299,0.933528179,0.945361458,0.916538023,0.940597314,0.925307637
0.973201667,0.968586438,0.961817007,0.920454635,0.923918192,0.937175246,0.941892971,0.925474183,0.951577676,0.9176076,0.941848002,0.933431587
0.972312547,0.972631107,0.959821951,0.922187822,0.921595535,0.936180698,0.937231766,0.931042554,0.950368456,0.923163619,0.939304611,0.928348629
0.972236788,0.976049331,0.963782868,0.925761087,0.917389353,0.93971837,0.945904654,0.932284638,0.949851198,0.925999304,0.942343148,0.924347707
0.969501902,0.973272813,0.964805302,0.917945012,0.92169998,0.941209973,0.949189945,0.930644437,0.952038984,0.923844098,0.943281427,0.930930419
0.974913421,0.97525812,0.968116147,0.924834465,0.924055205,0.946189277,0.945209285,0.932613314,0.953324799,0.922880331,0.943208343,0.937106673
0.973686058,0.973562252,0.965825465,0.935023147,0.924934598,0.941974314,0.937671529,0.940835281,0.949803401,0.924015099,0.945223146,0.935616059
0.977045093,0.973958882,0.968126641,0.928675268,0.919822644,0.944905537,0.953150049,0.935082646,0.955197184,0.93137852,0.94932827,0.928896083
0.973771221,0.976045097,0.964305545,0.923240902,0.931149005,0.946352509,0.95332612,0.939794402,0.950350799,0.929127643,0.941604302,0.940265003
0.973791266,0.975758172,0.968552638,0.931438659,0.929893353,0.946740987,0.947653042,0.935349223,0.949749611,0.931435296,0.945699645,0.942402767
0.973577786,0.972946692,0.970884476,0.937231887,0.927449514,0.947616776,0.939568321,0.938895471,0.959022974,0.931043152,0.950578622,0.934706724
0.978892595,0.974917946,0.967735746,0.923753914,0.931775222,0.950293101,0.954356986,0.939261597,0.963192333,0.929317461,0.949699298,0.933633989
0.971131379,0.978137311,0.968896125,0.929479415,0.935086059,0.947384032,0.95698415,0.941330563,0.955672428,0.930554544,0.941604317,0.943598062
0.979027102,0.978005179,0.971643961,0.939843428,0.932183303,0.949561302,0.947419063,0.947373264,0.950021556,0.937814284,0.950728525,0.946212796
0.974253125,0.977776375,0.971188223,0.932677712,0.931827851,0.950308344,0.950154882,0.941420744,0.957432516,0.932968737,0.953954744,0.938502444
0.978108688,0.97596898,0.974181441,0.927731009,0.934886005,0.952504694,0.954836733,0.946786275,0.965819072,0.935341402,0.951442589,0.941031815
