ISCX-VPN,VNAT
0.314933584,0.722292963
0.372877494,0.725931886
0.432493851,0.795937064
0.476271496,0.806709293
0.515327082,0.807489041
0.527427421,0.809337381
0.556546972,0.82213122
0.612523363,0.825019243
0.639281855,0.821409228
0.638593183,0.827329639
0.646364973,0.832037094
0.626197741,0.822044614
0.647840605,0.832759085
0.666728959,0.837928596
0.657579885,0.839199367
0.678337381,0.837899748
0.675189362,0.843646887
0.675976382,0.835762623
0.693290696,0.84413785
0.699881897,0.851473334
0.686699436,0.851791027
0.696340368,0.847170237
0.689454005,0.854765657
0.701160834,0.848614219
0.693585799,0.855660978
0.705391035,0.850318137
0.719557271,0.854592386
0.721032963,0.855314377
0.703226731,0.855718735
0.709621237,0.852022055
0.722606943,0.858664516
0.686109171,0.853841546
0.717392967,0.857624832
0.727919326,0.84803665
0.735100792,0.858173552
0.732543037,0.856440726
0.722115085,0.85765368
0.734608934,0.854448023
0.717294619,0.851646665
0.731460855,0.860541704
0.732739792,0.859675291
0.726246879,0.858346823
0.721328066,0.857769194
0.742872582,0.8589533
0.755268083,0.859761956
0.737363503,0.860657218
0.726443634,0.859444264
0.743954704,0.853697124
0.754579411,0.859502021
0.748184905,0.861841264
0.747299538,0.849827173
0.756448553,0.858289066
0.751332984,0.861061516
0.754972921,0.861408117
0.755858288,0.859964076
0.761957691,0.862072352
0.746709273,0.86062831
0.760777161,0.861841264
0.769729421,0.860050741
0.768450544,0.861581388
0.760875509,0.856873933
0.745528744,0.856613997
0.764023588,0.862303379
0.775435314,0.859386507
0.773861275,0.861061516
0.765991137,0.862592164
0.775632069,0.861725751
0.769237564,0.855978671
0.782420025,0.855689827
0.756055043,0.862043443
0.769926176,0.860512796
0.76510571,0.862014595
0.77405803,0.859675291
0.785961614,0.861696902
0.769139157,0.862072352
0.779763863,0.856671754
0.770024584,0.861205938
0.786355124,0.861956838
0.766778157,0.862823191
0.782026515,0.860281768
0.778976844,0.860455039
0.785273001,0.862707678
0.790683673,0.860917154
0.784781084,0.858866635
0.787830756,0.862303379
0.78379731,0.85672951
0.749660597,0.860801581
0.778780089,0.861494723
0.794815526,0.861870173
0.793733404,0.859733048
0.798357055,0.863169792
0.801505134,0.853668216
0.789798305,0.862794343
0.796291158,0.85987747
0.785764859,0.862938705
0.787043736,0.862505558
0.797471688,0.863112035
0.788027511,0.863602999
0.797865198,0.863602999
0.789404795,0.863198641
0.796979831,0.862649921
0.799931095,0.862130109
0.794323609,0.862361136
0.798848973,0.861783507
0.801505134,0.863314155
0.797274933,0.861494723
0.803669439,0.862563315
0.807014213,0.863660756
0.803275929,0.862245622
0.805833743,0.86394954
0.799537585,0.863891783
0.793044732,0.86377627
0.794323609,0.863718513
0.794618771,0.863227549
0.798455463,0.862794343
0.795504139,0.862765434
0.790585325,0.862389985
0.806522355,0.864007297
0.805735336,0.862158957
0.812326596,0.863198641
0.812228189,0.863689604
0.800816522,0.862216714
0.804554806,0.86192793
0.811146066,0.864151719
0.80868666,0.863112035
0.807801233,0.863891783
0.80012785,0.863978389
0.80091487,0.862014595
0.814195738,0.863718513
0.81567137,0.864065054
0.811539576,0.860224012
0.811342821,0.863891783
0.811834679,0.864122811
0.815376268,0.864122811
0.813211963,0.864093962
0.769729421,0.863371912
0.813703881,0.863891783
0.819212959,0.86247665
0.809572027,0.86377627
0.818425939,0.863169792
0.817343817,0.863718513
0.81803243,0.864122811
0.813998983,0.864209476
0.795405791,0.864180568
0.8063256,0.863631848
0.818130837,0.864209476
0.806227253,0.862361136
0.811047719,0.864151719
0.810850964,0.864180568
0.819704876,0.864209476
0.774254785,0.860483947
0.820786999,0.861090425
0.821082101,0.863574091
0.799242482,0.864296082
0.822164283,0.864238325
0.8063256,0.862274471
0.805243478,0.864238325
0.814589248,0.864296082
0.822361038,0.860455039
0.803669439,0.862678829
0.819212959,0.864209476
0.813900636,0.863747361
0.818917857,0.861292544
0.821082101,0.864180568
0.820590244,0.864036146
0.821180508,0.864296082
0.82383667,0.864440504
0.812228189,0.864498261
0.804849968,0.864382747
0.816655145,0.862967613
0.79078208,0.864209476
0.820393489,0.864209476
0.809473679,0.862880948
0.824426935,0.864613774
0.816556797,0.863256398
0.82344316,0.864440504
0.820983753,0.864382747
0.802980767,0.864180568
0.814589248,0.864671531
0.812129841,0.864122811
0.821869121,0.864584866
0.821475611,0.864296082
0.818524347,0.864556018
0.819212959,0.864411595
0.820196734,0.864267233
0.810555802,0.863747361
0.809375272,0.862649921
0.817147062,0.864180568
0.822557793,0.864729288
0.826689587,0.859299842
0.820885346,0.86470044
0.816753552,0.864180568
0.824328528,0.864729288
0.815376268,0.86432499
0.819212959,0.864556018
0.820295081,0.854910079
0.82344316,0.863862875
0.8144909,0.864382747
0.803669439,0.864671531
0.821672366,0.865018073
0.823541568,0.864122811
0.823935077,0.864902559
0.826591239,0.86487371
0.824328528,0.86377627
0.825509057,0.864844802
0.821770773,0.864902559
0.821967528,0.864960316
0.82344316,0.864960316
0.813900636,0.864729288
0.82541071,0.864411595
0.822852896,0.864931467
0.820295081,0.864844802
0.828066871,0.864989224
0.819803224,0.861350301
0.817442165,0.865046981
0.824426935,0.863602999
0.814195738,0.864960316
0.825509057,0.865133587
0.815179513,0.864469352
0.825115547,0.864989224
0.827083097,0.865133587
0.818524347,0.865162495
0.824820445,0.865046981
0.82541071,0.860426191
0.815573023,0.864902559
0.826886342,0.864844802
0.819311366,0.864787045
0.828066871,0.864902559
0.815868125,0.864556018
0.818721102,0.864815953
0.826886342,0.865018073
0.82462369,0.864267233
0.819409714,0.864642683
0.826492832,0.865133587
0.826984749,0.865191403
0.823639915,0.864556018
0.826492832,0.860917154
0.826689587,0.86470044
0.829247401,0.863834026
0.822951303,0.858693364
0.821967528,0.864267233
0.825213955,0.865220252
0.822361038,0.864960316
0.821869121,0.864642683
0.825312302,0.865278009
0.827476607,0.864902559
0.828558729,0.865278009
0.826394484,0.865046981
0.828066871,0.865046981
0.826689587,0.865133587
0.82462369,0.865191403
0.830132768,0.86340082
0.83121495,0.865133587
0.829837666,0.864267233
0.828165279,0.863429669
0.810850964,0.86487371
0.814589248,0.865220252
0.830427931,0.865191403
0.830034421,0.865220252
0.824525283,0.865220252
0.823738323,0.865046981
0.828165279,0.865162495
0.826689587,0.86524916
0.826886342,0.865335766
0.822951303,0.86487371
0.825902567,0.865364674
0.825607465,0.865306917
0.819212959,0.865335766
0.810654209,0.865509036
0.827279852,0.865537944
0.827476607,0.865480188
0.827083097,0.864440504
0.828361974,0.865220252
0.830034421,0.865278009
0.827575014,0.865046981
0.829247401,0.865422431
0.828263626,0.865191403
0.818229184,0.865537944
0.810162292,0.865278009
0.782911942,0.865509036
0.831903563,0.865566793
0.829050646,0.865566793
0.819606469,0.865566793
0.828066871,0.86562455
0.829247401,0.854361358
0.826886342,0.86524916
0.827771769,0.865335766
0.826689587,0.865509036
0.827870117,0.865566793
0.829247401,0.865653458
0.830231176,0.865566793
0.828165279,0.860974911
0.814195738,0.865162495
0.82423018,0.865566793
0.826886342,0.865537944
0.829936014,0.865422431
0.822361038,0.865451279
0.825115547,0.865335766
0.828558729,0.863805118
0.825705812,0.864931467
0.826197729,0.865451279
0.826984749,0.865306917
0.828755484,0.865393522
0.826886342,0.865422431
0.828165279,0.865480188
0.828755484,0.865509036
0.83200197,0.865537944
0.83121495,0.865566793
0.830526278,0.865566793
0.828853891,0.864844802
0.828066871,0.864960316
0.805833743,0.865509036
0.823246405,0.86562455
0.829640911,0.863140884
0.822852896,0.865451279
0.825902567,0.865566793
0.83121495,0.865537944
0.828361974,0.865595701
0.827378259,0.865566793
0.828263626,0.865104738
0.826689587,0.86507583
0.827083097,0.865537944
0.829936014,0.865480188
0.822852896,0.865480188
0.8250172,0.865509036
0.828263626,0.865566793
0.819409714,0.865537944
0.826492832,0.865566793
0.833477602,0.865566793
0.828165279,0.865451279
0.829050646,0.865711215
0.828263626,0.865768972
0.831313298,0.865768972
0.831313298,0.86562455
0.827378259,0.865653458
0.829837666,0.862043443
0.828755484,0.865191403
0.830132768,0.865451279
0.82580422,0.865451279
0.831313298,0.861812416
0.83121495,0.865364674
0.83239548,0.865653458
0.8503,0.865826729
0.831903563,0.865682307
0.83121495,0.865711215
0.827870117,0.865826729
0.830723033,0.865682307
0.83239548,0.865740123
0.83239548,0.865595701
0.827575014,0.86562455
0.826689587,0.865335766
0.827378259,0.865422431
0.829247401,0.86562455
0.829640911,0.865682307
0.830821441,0.865682307
0.83121495,0.865711215
0.824918793,0.865740123
0.818229184,0.862765434
0.827476607,0.865711215
0.831018195,0.865046981
0.832198725,0.865682307
0.831313298,0.864989224
0.823246405,0.865740123
0.83239548,0.865826729
0.83200197,0.865826729
0.829148994,0.865768972
0.830526278,0.865653458
0.816163287,0.865682307
0.816360042,0.865653458
0.828657136,0.865682307
0.829936014,0.865711215
0.829542504,0.865740123
0.812424944,0.864758197
0.827771769,0.865335766
0.829739259,0.865682307
0.829837666,0.865595701
0.828066871,0.86562455
